station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41490,Harrison,2/1/2020,3865.6,2617,1819.3,97673
41400,Roosevelt,2/1/2020,10025,7190.4,5421.8,258139
41000,Cermak-Chinatown,2/1/2020,3232.2,3661.8,2896.5,94539
40190,Sox-35th-Dan Ryan,2/1/2020,3681.9,2134.4,1707.3,91138
41230,47th-Dan Ryan,2/1/2020,2437.8,1708.6,1339.8,62657
41170,Garfield-Dan Ryan,2/1/2020,2661.2,2017.8,1433.3,69045
40910,63rd-Dan Ryan,2/1/2020,2693.8,1961.2,1575.3,69982
40990,69th,2/1/2020,3931.9,2751.4,2116.5,100860
40240,79th,2/1/2020,5609.1,3774.8,3060.3,143297
41430,87th,2/1/2020,3356,2198,1737.8,85060
40450,95th/Dan Ryan,2/1/2020,8519.5,4866.6,3946.3,210508
41050,Linden,2/1/2020,792.9,305.8,257,18415
41250,Central-Evanston,2/1/2020,726.1,311,271.5,17163
40400,Noyes,2/1/2020,912,509,370.8,22267
40520,Foster,2/1/2020,775.8,491.8,348.5,19369
40050,Davis,2/1/2020,3284.3,2107.8,1576.8,82532
40690,Dempster,2/1/2020,738.8,535.6,453.3,19267
40270,Main,2/1/2020,1069,639.6,507.5,26607
40840,South Boulevard,2/1/2020,749.5,336.4,275.3,17773
40140,Dempster-Skokie,2/1/2020,1582.1,645.6,485,36810
41680,Oakton-Skokie,2/1/2020,905.3,312.6,234,20604
40890,O'Hare Airport,2/1/2020,8975.8,7202.2,8094.5,247905
40820,Rosemont,2/1/2020,5426.1,2705.8,2021.5,130137
40230,Cumberland,2/1/2020,3934.5,1137.4,950.8,88180
40750,Harlem-O'Hare,2/1/2020,2668.7,956.8,724.8,61056
41280,Jefferson Park,2/1/2020,6175.4,2892,2330,147287
41330,Montrose-O'Hare,2/1/2020,2363,1024.4,761.3,55427
40550,Irving Park-O'Hare,2/1/2020,4023.6,1985,1508.8,96431
41240,Addison-O'Hare,2/1/2020,2834.7,1058.2,762.5,65034
40060,Belmont-O'Hare,2/1/2020,4855.2,2354.8,1768.5,115952
41020,Logan Square,2/1/2020,7048.5,3371.2,2435.5,167568
40570,California/Milwaukee,2/1/2020,5528.5,2525.8,1834.3,130536
40670,Western/Milwaukee,2/1/2020,5545.4,2158.2,1551,127903
40590,Damen/Milwaukee,2/1/2020,5919.8,3646,2669,147301
40320,Division/Milwaukee,2/1/2020,5604.3,2557,1863.8,132326
41410,Chicago/Milwaukee,2/1/2020,3832,1286,911.5,86715
40490,Grand/Milwaukee,2/1/2020,2626.3,1197.2,893.8,62086
40370,Washington/Dearborn,2/1/2020,13201.7,5372,3872.3,306383
40790,Monroe/Dearborn,2/1/2020,7986,1657,1252.5,173015
40070,Jackson/Dearborn,2/1/2020,6980.3,2345.4,1580.3,157654
41340,LaSalle,2/1/2020,2989.4,1040.8,830.8,68314
40430,Clinton-Forest Park,2/1/2020,3732,1005.6,923.3,83361
40350,UIC-Halsted,2/1/2020,7285.8,1935.6,1478.5,161307
40470,Racine,2/1/2020,2167.6,796,738.8,50286
40810,Medical Center,2/1/2020,2720.8,847.8,654.8,61273
40220,Western-Forest Park,2/1/2020,1572.6,810.8,615.8,37969
40250,Kedzie-Homan-Forest Park,2/1/2020,1690.2,1094,866.8,42740
40920,Pulaski-Forest Park,2/1/2020,1687.8,1320,1145.5,44938
